M300通道,MCU通道,测试值,电阻,数值,上限,下限,测试值,空载,数值,上限,下限,测试值,带载,数值,上限,下限,测试值,40度,数值,上限,下限,测试值,70度,数值,上限,下限,测试值,老化电压,数值,上限,下限,测试值,常温电压,数值,上限,下限,测试结果,补偿,板卡编号,点位名称,测量类型,电压通道,启用,后续设置(未用)
501,21,0,20K,20000,20300,19700,0,VHV± 1 V,VBUS,VHV+ 1 V,VHV-1 V,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,左12对HV,VBUS,无,2,是,停止
501,22,0,20K,20000,20300,19700,0,VHV± 1 V,25,VHV+ 1 V,VHV-1 V,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,左14对HV,VBUS-25V,无,2,是,停止
501,23,0,20K,20000,20300,19700,0,VHV± 1 V,35,VHV+ 1 V,VHV-1 V,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,左17对HV,VBUS-35V,无,2,是,停止
501,24,0,20K,20000,20300,15000,0,VHV± 1 V,51,VHV+ 1 V,VHV-1 V,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,左19对HV,VBUS-51V,无,2,是,停止
501,25,0,20K,20000,20300,19700,0,VHV± 1 V,无,VHV+ 1 V,VHV-1 V,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,右3对HV,12V,无,2,是,停止
501,26,0,20K,20000,20300,19700,0,VHV± 1 V,5,VHV+ 1 V,VHV-1 V,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,右5对HV,5V,无,2,是,继续
501,27,0,20K,20000,20300,19700,0,VHV± 1 V,VBUS,VHV+ 1 V,VHV-1 V,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,右8对HV,VBUS,无,2,是,继续
501,28,0,20K,20000,20300,19700,0,VHV± 1 V,25,VHV+ 1 V,VHV-1 V,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,右10对HV,VBUS-25V,无,2,是,停止
501,29,0,20K,20000,20300,19700,0,VHV± 1 V,35,VHV+ 1 V,VHV-1 V,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,右13对HV,VBUS-35V,无,2,是,停止
501,30,0,20K,20000,20300,19700,0,VHV± 1 V,51,VHV+ 1 V,VHV-1 V,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,右15对HV,VBUS-51V,无,2,是,停止
501,31,0,20K,20000,20300,19700,0,VHV± 1 V,无,VHV+ 1 V,VHV-1 V,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,右18对HV,12V,无,2,是,停止
